,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
51142,Eswatini,Electricity,Gross production,2019,,5838490000.0
51143,Eswatini,Electricity,Gross production,2018,,5191150000.0
51144,Eswatini,Electricity,Gross production,2017,,4142150000.0
51145,Eswatini,Electricity,Gross production,2016,,4077444440.0
51146,Eswatini,Electricity,Gross production,2015,1.0,5085000000.0
51147,Eswatini,Electricity,Gross production,2014,,5687222220.0
51148,Eswatini,Electricity,Gross production,2013,1.0,5898000000.0
51149,Eswatini,Electricity,Gross production,2012,1.0,6218000000.0
51150,Eswatini,Electricity,Gross production,2011,,6544400000.000001
51151,Eswatini,Electricity,Gross production,2010,,5597300000.0
51152,Eswatini,Electricity,Gross production,2009,1.0,5177000000.0
51153,Eswatini,Electricity,Gross production,2008,1.0,4318000000.0
51154,Eswatini,Electricity,Gross production,2007,1.0,4540800000.0
51155,Eswatini,Electricity,Gross production,2006,1.0,4372800000.0
51156,Eswatini,Electricity,Gross production,2005,,4080000000.0
51157,Eswatini,Electricity,Gross production,2004,1.0,3545000000.0
51158,Eswatini,Electricity,Gross production,2003,1.0,3947000000.0
51159,Eswatini,Electricity,Gross production,2002,,4727000000.0
51160,Eswatini,Electricity,Gross production,2001,,5063000000.0
51161,Eswatini,Electricity,Gross production,2000,,4697000000.0
51162,Eswatini,Electricity,Gross production,1999,,4545000000.0
51163,Eswatini,Electricity,Gross production,1998,1.0,4515000000.0
51164,Eswatini,Electricity,Gross production,1997,1.0,4500000000.0
51165,Eswatini,Electricity,Gross production,1996,1.0,4250000000.0
51166,Eswatini,Electricity,Gross production,1995,,4250000000.0
51167,Eswatini,Electricity,Gross production,1994,1.0,4190000000.0
51168,Eswatini,Electricity,Gross production,1993,,4190000000.0
51169,Eswatini,Electricity,Gross production,1992,,4190000000.0
51170,Eswatini,Electricity,Gross production,1991,,4190000000.0
51171,Eswatini,Electricity,Gross production,1990,,3640000000.0
51172,Eswatini,Hydro,Main activity,2019,,2686019999.9999995
51173,Eswatini,Hydro,Main activity,2018,,2080000000.0
51174,Eswatini,Hydro,Main activity,2017,,1171000000.0
51175,Eswatini,Hydro,Main activity,2016,,1233000000.0
51176,Eswatini,Hydro,Main activity,2015,,2310000000.0
51177,Eswatini,Hydro,Main activity,2014,,3020000000.0
51178,Eswatini,Hydro,Main activity,2013,,2398000000.0
51179,Eswatini,Hydro,Main activity,2012,,2723000000.0
51180,Eswatini,Hydro,Main activity,2011,,3334000000.0
51181,Eswatini,Hydro,Main activity,2010,,2881000000.0
51182,Eswatini,Hydro,Main activity,2009,,2455000000.0
51183,Eswatini,Hydro,Main activity,2008,,1600000000.0
51184,Eswatini,Hydro,Main activity,2007,,1730800000.0000002
51185,Eswatini,Hydro,Main activity,2006,,1562800000.0
51186,Eswatini,Hydro,Main activity,2005,,1595000000.0
51187,Eswatini,Hydro,Main activity,2004,,1035000000.0
51188,Eswatini,Hydro,Main activity,2003,,1230000000.0
51189,Eswatini,Hydro,Main activity,2002,,2037000000.0
51190,Eswatini,Hydro,Main activity,2001,,2291000000.0
51191,Eswatini,Hydro,Main activity,2000,,1923000000.0
51192,Eswatini,Hydro,Main activity,1999,,1888000000.0
51193,Eswatini,Hydro,Main activity,1998,1.0,2000000000.0
51194,Eswatini,Hydro,Main activity,1997,1.0,2000000000.0
51195,Eswatini,Hydro,Main activity,1996,1.0,2000000000.0
51196,Eswatini,Hydro,Main activity,1995,,2000000000.0
51197,Eswatini,Hydro,Main activity,1994,1.0,1980000000.0
51198,Eswatini,Hydro,Main activity,1993,,1980000000.0
51199,Eswatini,Hydro,Main activity,1992,,1980000000.0
51200,Eswatini,Hydro,Main activity,1991,,1980000000.0
51201,Eswatini,Hydro,Main activity,1990,,1480000000.0
51202,Eswatini,Solar,Main activity,2019,,22320000.000000004
51203,Eswatini,Solar photovoltaic,Main activity,2019,,22320000.000000004
51204,Eswatini,From combustible fuels,Autoproducer,2019,,3129000000.0
51205,Eswatini,From combustible fuels,Autoproducer,2018,,3110000000.0
51206,Eswatini,From combustible fuels,Autoproducer,2017,,2970000000.0
51207,Eswatini,From combustible fuels,Autoproducer,2016,,2844444439.9999995
51208,Eswatini,From combustible fuels,Autoproducer,2015,1.0,2775000000.0
51209,Eswatini,From combustible fuels,Autoproducer,2014,,2667222220.0
51210,Eswatini,From combustible fuels,Autoproducer,2013,1.0,3500000000.0
