,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
15202,New Caledonia,Electricity,Gross production,2020,,32326000000.0
15203,New Caledonia,Electricity,Gross production,2019,,33331000000.0
15204,New Caledonia,Electricity,Gross production,2018,,34859000000.0
15205,New Caledonia,Electricity,Gross production,2017,,32282000000.0
15206,New Caledonia,Electricity,Gross production,2016,,31299000000.0
15207,New Caledonia,Electricity,Gross production,2015,,29028300000.0
15208,New Caledonia,Electricity,Gross production,2014,,30108400000.0
15209,New Caledonia,Electricity,Gross production,2013,,25049700000.0
15210,New Caledonia,Electricity,Gross production,2012,,22873100000.0
15211,New Caledonia,Electricity,Gross production,2011,,22580500000.0
15212,New Caledonia,Electricity,Gross production,2010,,21319000000.0
15213,New Caledonia,Electricity,Gross production,2009,,19538000000.0
15214,New Caledonia,Electricity,Gross production,2008,,18806000000.0
15215,New Caledonia,Electricity,Gross production,2007,,19266000000.0
15216,New Caledonia,Electricity,Gross production,2006,,18720000000.0
15217,New Caledonia,Electricity,Gross production,2005,,18830000000.0
15218,New Caledonia,Electricity,Gross production,2004,,16780000000.0
15219,New Caledonia,Electricity,Gross production,2003,,17580000000.0
15220,New Caledonia,Electricity,Gross production,2002,,17490000000.0
15221,New Caledonia,Electricity,Gross production,2001,,17290000000.0
15222,New Caledonia,Electricity,Gross production,2000,,16450000000.0
15223,New Caledonia,Electricity,Gross production,1999,,16200000000.0
15224,New Caledonia,Electricity,Gross production,1998,,15910000000.0
15225,New Caledonia,Electricity,Gross production,1997,,15240000000.0
15226,New Caledonia,Electricity,Gross production,1996,,14850000000.0
15227,New Caledonia,Electricity,Gross production,1995,,14150000000.0
15228,New Caledonia,Electricity,Gross production,1994,,13320000000.0
15229,New Caledonia,Electricity,Gross production,1993,,12700000000.0
15230,New Caledonia,Electricity,Gross production,1992,,10990000000.0
15231,New Caledonia,Electricity,Gross production,1991,,11700000000.0
15232,New Caledonia,Electricity,Gross production,1990,,11470000000.0
15233,New Caledonia,From combustible fuels,Main activity,2020,,27285000000.0
15234,New Caledonia,From combustible fuels,Main activity,2019,,28756000000.0
15235,New Caledonia,From combustible fuels,Main activity,2018,,30770000000.0
15236,New Caledonia,From combustible fuels,Main activity,2017,,27943000000.0
15237,New Caledonia,From combustible fuels,Main activity,2016,,28416000000.0
15238,New Caledonia,From combustible fuels,Main activity,2015,,24942000000.0
15239,New Caledonia,From combustible fuels,Main activity,2014,,26599000000.0
15240,New Caledonia,From combustible fuels,Main activity,2013,,19917000000.0
15241,New Caledonia,From combustible fuels,Main activity,2012,,18278000000.0
15242,New Caledonia,From combustible fuels,Main activity,2011,,18327000000.0
15243,New Caledonia,From combustible fuels,Main activity,2010,,18119000000.0
15244,New Caledonia,From combustible fuels,Main activity,2009,,15133000000.0
15245,New Caledonia,From combustible fuels,Main activity,2008,,13840000000.0
15246,New Caledonia,From combustible fuels,Main activity,2007,,14990000000.0
15247,New Caledonia,From combustible fuels,Main activity,2006,,15560000000.0
15248,New Caledonia,From combustible fuels,Main activity,2005,,15260000000.0
15249,New Caledonia,From combustible fuels,Main activity,2004,,13410000000.0
15250,New Caledonia,From combustible fuels,Main activity,2003,,14300000000.0
15251,New Caledonia,From combustible fuels,Main activity,2002,,14210000000.0
15252,New Caledonia,From combustible fuels,Main activity,2001,,13550000000.0
15253,New Caledonia,From combustible fuels,Main activity,2000,,11960000000.0
15254,New Caledonia,From combustible fuels,Main activity,1999,,11480000000.0
15255,New Caledonia,From combustible fuels,Main activity,1998,,11940000000.0
15256,New Caledonia,From combustible fuels,Main activity,1997,,11600000000.0
15257,New Caledonia,From combustible fuels,Main activity,1996,,10910000000.0
15258,New Caledonia,From combustible fuels,Main activity,1995,,11860000000.0
15259,New Caledonia,From combustible fuels,Main activity,1994,,10550000000.0
15260,New Caledonia,From combustible fuels,Main activity,1993,,10300000000.0
15261,New Caledonia,From combustible fuels,Main activity,1992,,8270000000.0
15262,New Caledonia,From combustible fuels,Main activity,1991,,8270000000.0
15263,New Caledonia,From combustible fuels,Main activity,1990,,6860000000.0
15264,New Caledonia,From combustible fuels,From combustible fuels,2020,,27285000000.0
15265,New Caledonia,From combustible fuels,From combustible fuels,2019,,28756000000.0
15266,New Caledonia,From combustible fuels,From combustible fuels,2018,,30770000000.0
15267,New Caledonia,From combustible fuels,From combustible fuels,2017,,27943000000.0
15268,New Caledonia,From combustible fuels,From combustible fuels,2016,,28416000000.0
15269,New Caledonia,From combustible fuels,From combustible fuels,2015,,24942000000.0
15270,New Caledonia,From combustible fuels,From combustible fuels,2014,,26599000000.0
15271,New Caledonia,From combustible fuels,From combustible fuels,2013,,19917000000.0
15272,New Caledonia,From combustible fuels,From combustible fuels,2012,,18278000000.0
15273,New Caledonia,From combustible fuels,From combustible fuels,2011,,18327000000.0
15274,New Caledonia,From combustible fuels,From combustible fuels,2010,,18119000000.0
15275,New Caledonia,From combustible fuels,From combustible fuels,2009,,15133000000.0
15276,New Caledonia,From combustible fuels,From combustible fuels,2008,,13840000000.0
15277,New Caledonia,From combustible fuels,From combustible fuels,2007,,14990000000.0
15278,New Caledonia,Hydro,Main activity,2020,,3050000000.0
15279,New Caledonia,Hydro,Main activity,2019,,2848000000.0
15280,New Caledonia,Hydro,Main activity,2018,,3172000000.0
15281,New Caledonia,Hydro,Main activity,2017,,3611000000.0
15282,New Caledonia,Hydro,Main activity,2016,,2318000000.0
15283,New Caledonia,Hydro,Main activity,2015,,3404000000.0
15284,New Caledonia,Hydro,Main activity,2014,,2892000000.0
15285,New Caledonia,Hydro,Main activity,2013,,4563000000.0
15286,New Caledonia,Hydro,Main activity,2012,,3978000000.0
15287,New Caledonia,Hydro,Main activity,2011,,3757000000.0
15288,New Caledonia,Hydro,Main activity,2010,,2649000000.0
15289,New Caledonia,Hydro,Main activity,2009,,3984000000.0
15290,New Caledonia,Hydro,Main activity,2008,,4600000000.0
15291,New Caledonia,Hydro,Main activity,2007,,3900000000.0
15292,New Caledonia,Hydro,Main activity,2006,,2880000000.0
15293,New Caledonia,Hydro,Main activity,2005,,3390000000.0
