,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
43609,Sierra Leone,Electricity,Gross production,2019,,2596800000.0
43610,Sierra Leone,Electricity,Gross production,2018,,3148500000.0
43611,Sierra Leone,Electricity,Gross production,2017,,3125000000.0
43612,Sierra Leone,Electricity,Gross production,2016,1.0,3032350000.0
43613,Sierra Leone,Electricity,Gross production,2015,1.0,2604680000.0
43614,Sierra Leone,Electricity,Gross production,2014,,1813000000.0
43615,Sierra Leone,Electricity,Gross production,2013,,1649900000.0
43616,Sierra Leone,Electricity,Gross production,2012,,1789700000.0
43617,Sierra Leone,Electricity,Gross production,2011,,1758400000.0
43618,Sierra Leone,Electricity,Gross production,2010,1.0,1707300000.0
43619,Sierra Leone,Electricity,Gross production,2009,1.0,1320770000.0
43620,Sierra Leone,Electricity,Gross production,2008,1.0,1388760000.0
43621,Sierra Leone,Electricity,Gross production,2007,1.0,600000000.0
43622,Sierra Leone,Electricity,Gross production,2006,1.0,589000000.0
43623,Sierra Leone,Electricity,Gross production,2005,,836000000.0
43624,Sierra Leone,Electricity,Gross production,2004,,1198000000.0
43625,Sierra Leone,Electricity,Gross production,2003,,1436000000.0
43626,Sierra Leone,Electricity,Gross production,2002,,1568000000.0
43627,Sierra Leone,Electricity,Gross production,2001,,1387000000.0
43628,Sierra Leone,Electricity,Gross production,2000,,947000000.0
43629,Sierra Leone,Electricity,Gross production,1999,,729000000.0
43630,Sierra Leone,Electricity,Gross production,1998,,1103000000.0
43631,Sierra Leone,Electricity,Gross production,1997,,964000000.0
43632,Sierra Leone,Electricity,Gross production,1996,,1442000000.0
43633,Sierra Leone,Electricity,Gross production,1995,,962000000.0
43634,Sierra Leone,Electricity,Gross production,1994,1.0,1240000000.0
43635,Sierra Leone,Electricity,Gross production,1993,1.0,1210000000.0
43636,Sierra Leone,Electricity,Gross production,1992,1.0,1200000000.0
43637,Sierra Leone,Electricity,Gross production,1991,1.0,1200000000.0
43638,Sierra Leone,Electricity,Gross production,1990,1.0,1170000000.0
43639,Sierra Leone,From combustible fuels,Main activity,2019,1.0,89800000.0
43640,Sierra Leone,From combustible fuels,Main activity,2018,1.0,661500000.0
43641,Sierra Leone,From combustible fuels,Main activity,2017,1.0,839000000.0
43642,Sierra Leone,From combustible fuels,Main activity,2016,1.0,796000000.0
43643,Sierra Leone,From combustible fuels,Main activity,2015,1.0,673000000.0
43644,Sierra Leone,From combustible fuels,Main activity,2014,,626000000.0
43645,Sierra Leone,From combustible fuels,Main activity,2013,,590000000.0
43646,Sierra Leone,From combustible fuels,Main activity,2012,,605700000.0
43647,Sierra Leone,From combustible fuels,Main activity,2011,,221700000.00000003
43648,Sierra Leone,From combustible fuels,Main activity,2010,,215300000.0
43649,Sierra Leone,From combustible fuels,Main activity,2009,,440000000.0
43650,Sierra Leone,From combustible fuels,Main activity,2008,,430000000.0
43651,Sierra Leone,From combustible fuels,Main activity,2007,1.0,150000000.0
43652,Sierra Leone,From combustible fuels,Main activity,2006,1.0,239000000.0
43653,Sierra Leone,From combustible fuels,Main activity,2005,,378000000.0
43654,Sierra Leone,From combustible fuels,Main activity,2004,,729000000.0
43655,Sierra Leone,From combustible fuels,Main activity,2003,,976000000.0
43656,Sierra Leone,From combustible fuels,Main activity,2002,,1097000000.0
