,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
78922,Yemen,Electricity,Gross production,2019,,36031670000.0
78923,Yemen,Electricity,Gross production,2018,,34871990000.0
78924,Yemen,Electricity,Gross production,2017,,40502190000.0
78925,Yemen,Electricity,Gross production,2016,,47980000000.0
78926,Yemen,Electricity,Gross production,2015,,57620000000.0
78927,Yemen,Electricity,Gross production,2014,,76550000000.0
78928,Yemen,Electricity,Gross production,2013,,85050000000.0
78929,Yemen,Electricity,Gross production,2012,,70770000000.0
78930,Yemen,Electricity,Gross production,2011,,62070000000.0
78931,Yemen,Electricity,Gross production,2010,,77550000000.0
78932,Yemen,Electricity,Gross production,2009,,67500000000.0
78933,Yemen,Electricity,Gross production,2008,,65460000000.0
78934,Yemen,Electricity,Gross production,2007,,60270000000.0
78935,Yemen,Electricity,Gross production,2006,,53870000000.0
78936,Yemen,Electricity,Gross production,2005,,47680000000.0
78937,Yemen,Electricity,Gross production,2004,,43650000000.0
78938,Yemen,Electricity,Gross production,2003,,40960000000.0
78939,Yemen,Electricity,Gross production,2002,,37690000000.0
78940,Yemen,Electricity,Gross production,2001,,36430000000.0
78941,Yemen,Electricity,Gross production,2000,,34130000000.0
78942,Yemen,Electricity,Gross production,1999,,31360000000.0
78943,Yemen,Electricity,Gross production,1998,,29120000000.0
78944,Yemen,Electricity,Gross production,1997,,25570000000.0
78945,Yemen,Electricity,Gross production,1996,,24570000000.0
78946,Yemen,Electricity,Gross production,1995,,24220000000.0
78947,Yemen,Electricity,Gross production,1994,,21600000000.0
78948,Yemen,Electricity,Gross production,1993,,23500000000.0
78949,Yemen,Electricity,Gross production,1992,,21560000000.0
78950,Yemen,Electricity,Gross production,1991,,19700000000.0
78951,Yemen,From combustible fuels,Main activity,2019,,28377880000.0
78952,Yemen,From combustible fuels,Main activity,2018,,27579850000.0
78953,Yemen,From combustible fuels,Main activity,2017,,36134560000.0
78954,Yemen,From combustible fuels,Main activity,2016,,43870000000.0
78955,Yemen,From combustible fuels,Main activity,2015,,53640000000.0
78956,Yemen,From combustible fuels,Main activity,2014,,72540000000.0
78957,Yemen,From combustible fuels,Main activity,2013,,82560000000.0
78958,Yemen,From combustible fuels,Main activity,2012,,67270000000.0
78959,Yemen,From combustible fuels,Main activity,2011,,59350000000.0
78960,Yemen,From combustible fuels,Main activity,2010,,73050000000.0
78961,Yemen,From combustible fuels,Main activity,2009,,61410000000.0
78962,Yemen,From combustible fuels,Main activity,2008,,60150000000.0
78963,Yemen,From combustible fuels,Main activity,2007,,55100000000.0
78964,Yemen,From combustible fuels,Main activity,2006,,46320000000.0
78965,Yemen,From combustible fuels,Main activity,2005,,40850000000.0
78966,Yemen,From combustible fuels,Main activity,2004,,37350000000.0
78967,Yemen,From combustible fuels,Main activity,2003,,35070000000.0
78968,Yemen,From combustible fuels,Main activity,2002,,32810000000.0
78969,Yemen,From combustible fuels,Main activity,2001,,31680000000.0
78970,Yemen,From combustible fuels,Main activity,2000,,29590000000.0
78971,Yemen,From combustible fuels,Main activity,1999,,27350000000.0
78972,Yemen,From combustible fuels,Main activity,1998,,25560000000.0
78973,Yemen,From combustible fuels,Main activity,1997,,19360000000.0
78974,Yemen,From combustible fuels,Main activity,1996,,22150000000.0
78975,Yemen,From combustible fuels,Main activity,1995,,21470000000.0
78976,Yemen,From combustible fuels,Main activity,1994,,18860000000.0
78977,Yemen,From combustible fuels,Main activity,1993,,20860000000.0
