,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
0,Armenia,Animal waste - Production,Animal waste,Production,2019,Terajoules,871.315,
1,Armenia,Animal waste - Production,Animal waste,Production,2018,Terajoules,1289.328,
2,Armenia,Animal waste - Production,Animal waste,Production,2017,Terajoules,2427.783,
3,Armenia,Animal waste - Production,Animal waste,Production,2016,Terajoules,2195.136,
4,Armenia,Animal waste - Production,Animal waste,Production,2015,Terajoules,1307.467,
5,Armenia,Animal waste - Production,Animal waste,Production,2014,Terajoules,82.0,
6,Armenia,Animal waste - Imports,Animal waste,Imports,2020,Terajoules,2.6928,
7,Armenia,Animal waste - Imports,Animal waste,Imports,2013,Terajoules,30.328,
8,Armenia,Animal waste - Imports,Animal waste,Imports,2012,Terajoules,20.4,
9,Armenia,Animal waste - Exports,Animal waste,Exports,2013,Terajoules,57.256,
10,Armenia,Animal waste - Exports,Animal waste,Exports,2012,Terajoules,59.024,
11,Armenia,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2019,Terajoules,871.315,
12,Armenia,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2018,Terajoules,1289.328,
13,Armenia,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2017,Terajoules,2427.783,
14,Armenia,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2016,Terajoules,2195.136,
15,Armenia,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2015,Terajoules,1307.467,
16,Armenia,Animal waste - Final energy consumption,Animal waste,Final energy consumption,2014,Terajoules,82.0,
17,Armenia,Animal waste - Consumption by other,Animal waste,Consumption by other,2019,Terajoules,871.315,
18,Armenia,Animal waste - Consumption by other,Animal waste,Consumption by other,2018,Terajoules,1289.328,
19,Armenia,Animal waste - Consumption by other,Animal waste,Consumption by other,2017,Terajoules,2427.783,
20,Armenia,Animal waste - Consumption by other,Animal waste,Consumption by other,2016,Terajoules,2195.136,
