,Unnamed: 0,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes,Conversion_in_kWh
0,0,Australia,Black Liquor - Production,Black Liquor,Production,2019,Terajoules,15438.0,,4288336764.0
1,1,Australia,Black Liquor - Production,Black Liquor,Production,2018,Terajoules,15220.0,,4227781160.0
2,2,Australia,Black Liquor - Production,Black Liquor,Production,2017,Terajoules,15727.0,1.0,4368614606.0
3,3,Australia,Black Liquor - Production,Black Liquor,Production,2016,Terajoules,20073.0,,5575837794.0
4,4,Australia,Black Liquor - Production,Black Liquor,Production,2015,Terajoules,20521.0,,5700282338.0
5,5,Australia,Black Liquor - Production,Black Liquor,Production,2014,Terajoules,20977.0,,5826949106.0
6,6,Australia,Black Liquor - Production,Black Liquor,Production,2013,Terajoules,20081.0,,5578060018.0
7,7,Australia,Black Liquor - Production,Black Liquor,Production,2012,Terajoules,21031.0,,5841949118.0
8,8,Australia,Black Liquor - Production,Black Liquor,Production,2011,Terajoules,21761.0,,6044727058.0
9,9,Australia,Black Liquor - Production,Black Liquor,Production,2010,Terajoules,19290.0,,5358337620.0
10,10,Australia,Black Liquor - Production,Black Liquor,Production,2009,Terajoules,6200.0,,1722223600.0
11,11,Australia,Black Liquor - Production,Black Liquor,Production,2008,Terajoules,9107.0,,2529724246.0
12,12,Australia,Black Liquor - Production,Black Liquor,Production,2007,Terajoules,8509.0,,2363613002.0
13,13,Australia,Black Liquor - Production,Black Liquor,Production,2006,Terajoules,7334.0,,2037223852.0
14,14,Australia,Black Liquor - Production,Black Liquor,Production,2005,Terajoules,7223.0,,2006390494.0
15,15,Australia,Black Liquor - Production,Black Liquor,Production,2004,Terajoules,9788.0,,2718891064.0
16,16,Australia,Black Liquor - Production,Black Liquor,Production,2003,Terajoules,9833.0,,2731391074.0
17,17,Australia,Black Liquor - Production,Black Liquor,Production,2002,Terajoules,9472.0,,2631113216.0
18,18,Australia,Black Liquor - Production,Black Liquor,Production,2001,Terajoules,8732.0,,2425557496.0
19,19,Australia,Black Liquor - Production,Black Liquor,Production,2000,Terajoules,8419.0,,2338612982.0
20,20,Australia,Black Liquor - Production,Black Liquor,Production,1999,Terajoules,8299.0,,2305279622.0
21,21,Australia,Black Liquor - Production,Black Liquor,Production,1998,Terajoules,8330.0,,2313890740.0
22,22,Australia,Black Liquor - Production,Black Liquor,Production,1997,Terajoules,8330.0,,2313890740.0
23,23,Australia,Black Liquor - Production,Black Liquor,Production,1996,Terajoules,8394.0,,2331668532.0
24,24,Australia,Black Liquor - Production,Black Liquor,Production,1995,Terajoules,8552.0,,2375557456.0
25,25,Australia,Black Liquor - Production,Black Liquor,Production,1994,Terajoules,8495.0,,2359724110.0
26,26,Australia,Black Liquor - Production,Black Liquor,Production,1993,Terajoules,6594.0,,1831668132.0
27,27,Australia,Black Liquor - Production,Black Liquor,Production,1992,Terajoules,6137.0,,1704723586.0
28,28,Australia,Black Liquor - Production,Black Liquor,Production,1991,Terajoules,6572.0,,1825557016.0
29,29,Australia,Black Liquor - Production,Black Liquor,Production,1990,Terajoules,6240.0,,1733334720.0
30,30,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2019,Terajoules,15438.0,1.0,4288336764.0
31,31,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2018,Terajoules,15220.0,1.0,4227781160.0
32,32,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2017,Terajoules,15727.0,1.0,4368614606.0
33,33,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2016,Terajoules,20073.0,1.0,5575837794.0
34,34,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2015,Terajoules,20521.0,1.0,5700282338.0
35,35,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2014,Terajoules,20977.0,1.0,5826949106.0
36,36,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2013,Terajoules,20081.0,1.0,5578060018.0
37,37,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2012,Terajoules,21031.0,1.0,5841949118.0
38,38,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2011,Terajoules,21761.0,1.0,6044727058.0
39,39,Australia,Black Liquor - Final energy consumption,Black Liquor,Final energy consumption,2010,Terajoules,19290.0,1.0,5358337620.0
