,Unnamed: 0,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes,Conversion_in_kWh
0,0,Algeria,Ethane - Production,Ethane,Production,2016,"Metric tons,  thousand",0.0,,0.0
1,1,Algeria,Ethane - Production,Ethane,Production,2015,"Metric tons,  thousand",0.0,,0.0
2,2,Algeria,Ethane - Production,Ethane,Production,2014,"Metric tons,  thousand",0.0,,0.0
3,3,Algeria,Ethane - Production,Ethane,Production,2013,"Metric tons,  thousand",0.0,,0.0
4,4,Algeria,Ethane - Production,Ethane,Production,2012,"Metric tons,  thousand",27.0,,342900000.0
5,5,Algeria,Ethane - Production,Ethane,Production,2011,"Metric tons,  thousand",0.0,,0.0
6,6,Algeria,Ethane - Production,Ethane,Production,2010,"Metric tons,  thousand",17.0,,215900000.0
7,7,Algeria,Ethane - Production,Ethane,Production,2009,"Metric tons,  thousand",50.0,,635000000.0
8,8,Algeria,Ethane - Production,Ethane,Production,2008,"Metric tons,  thousand",57.0,,723900000.0
9,9,Algeria,Ethane - Production,Ethane,Production,2007,"Metric tons,  thousand",68.0,,863600000.0
10,10,Algeria,Ethane - Production,Ethane,Production,2006,"Metric tons,  thousand",68.0,,863600000.0
11,11,Algeria,Ethane - Production,Ethane,Production,2000,"Metric tons,  thousand",135.0,,1714500000.0
12,12,Algeria,Ethane - Production from plants,Ethane,Production from plants,2016,"Metric tons,  thousand",0.0,,0.0
13,13,Algeria,Ethane - Production from plants,Ethane,Production from plants,2015,"Metric tons,  thousand",0.0,,0.0
14,14,Algeria,Ethane - Production from plants,Ethane,Production from plants,2014,"Metric tons,  thousand",0.0,,0.0
15,15,Algeria,Ethane - Production from plants,Ethane,Production from plants,2013,"Metric tons,  thousand",0.0,,0.0
16,16,Algeria,Ethane - Production from plants,Ethane,Production from plants,2012,"Metric tons,  thousand",27.0,,342900000.0
17,17,Algeria,Ethane - Production from plants,Ethane,Production from plants,2011,"Metric tons,  thousand",0.0,,0.0
18,18,Algeria,Ethane - Production from plants,Ethane,Production from plants,2010,"Metric tons,  thousand",17.0,,215900000.0
