,source,target,value,year,estimation
0,exports,Electricity - exports,216500000000.0,2019,0
1,exports,Electricity - exports,209060000000.0,2018,0
2,exports,Electricity - exports,194700000000.0,2017,0
3,exports,Electricity - exports,189070000000.0,2016,0
4,exports,Electricity - exports,186540000000.0,2015,0
5,exports,Electricity - exports,181580000000.0,2014,0
6,exports,Electricity - exports,186690000000.0,2013,0
7,exports,Electricity - exports,176530000000.0,2012,0
8,exports,Electricity - exports,193070000000.0,2011,0
9,exports,Electricity - exports,190590000000.0,2010,0
10,exports,Electricity - exports,173860000000.0,2009,0
11,exports,Electricity - exports,166440000000.0,2008,0
12,exports,Electricity - exports,145660000000.0,2007,0
13,exports,Electricity - exports,122710000000.0,2006,0
14,exports,Electricity - exports,111940000000.0,2005,0
15,exports,Electricity - exports,94760000000.0,2004,0
16,exports,Electricity - exports,103390000000.0,2003,0
17,exports,Electricity - exports,97040000000.0,2002,0
18,exports,Electricity - exports,101910000000.0,2001,0
19,exports,Electricity - exports,98780000000.0,2000,0
20,exports,Electricity - exports,91500000000.0,1999,0
21,exports,Electricity - exports,71700000000.0,1998,0
22,exports,Electricity - exports,72040000000.0,1997,0
23,exports,Electricity - exports,37120000000.0,1996,0
24,exports,Electricity - exports,60250000000.0,1995,0
25,exports,Electricity - exports,38930000000.0,1994,0
26,exports,Electricity - exports,1170000000.0,1993,0
27,exports,Electricity - exports,0.0,1992,0
28,exports,Electricity - exports,2600000000.0,1991,0
29,exports,Electricity - exports,900000000.0,1990,0
30,exports,Conventional crude oil - exports,9477000000.0,2019,0
31,exports,Conventional crude oil - exports,30731220000.0,2018,0
32,exports,Conventional crude oil - exports,56870190000.0,2017,0
33,exports,Conventional crude oil - exports,34405020000.0,2016,0
34,exports,Conventional crude oil - exports,33527520000.0,2015,0
35,exports,Conventional crude oil - exports,7022340000.000001,2014,0
36,exports,Conventional crude oil - exports,18922410000.0,2013,0
37,exports,Conventional crude oil - exports,28455570000.0,2012,0
38,exports,Conventional crude oil - exports,29417310000.000004,2011,0
39,exports,Conventional crude oil - exports,35451000000.0,2010,0
40,exports,Conventional crude oil - exports,59354100000.0,2009,0
41,exports,Conventional crude oil - exports,49584600000.0,2008,0
42,exports,Conventional crude oil - exports,45442800000.0,2007,0
43,exports,Conventional crude oil - exports,74142900000.0,2006,0
44,exports,Conventional crude oil - exports,94383900000.0,2005,0
45,exports,Conventional crude oil - exports,64256400000.0,2004,0
46,exports,Conventional crude oil - exports,95156100000.0,2003,0
47,exports,Conventional crude oil - exports,89680500000.0,2002,0
48,exports,Conventional crude oil - exports,88335000000.0,2001,0
49,exports,Conventional crude oil - exports,120627000000.0,2000,0
50,exports,Conventional crude oil - exports,83853900000.0,1999,0
51,exports,Conventional crude oil - exports,182520000000.0,1998,0
52,exports,Conventional crude oil - exports,232011000000.0,1997,0
53,exports,Conventional crude oil - exports,238703400000.0,1996,0
54,exports,Conventional crude oil - exports,213255900000.0,1995,0
55,exports,Conventional crude oil - exports,216344700000.0,1994,0
56,exports,Conventional crude oil - exports,227331000000.0,1993,0
57,exports,Conventional crude oil - exports,251667000000.0,1992,0
58,exports,Conventional crude oil - exports,264396600000.0,1991,0
59,exports,Conventional crude oil - exports,280683000000.0,1990,0
60,exports,Hard coal - exports,41848200000.0,2019,0
61,exports,Hard coal - exports,34257228000.0,2018,0
62,exports,Hard coal - exports,56130720000.0,2017,0
63,exports,Hard coal - exports,61000518000.00001,2016,0
64,exports,Hard coal - exports,37045720000.0,2015,0
65,exports,Hard coal - exports,39846010000.0,2014,0
66,exports,Hard coal - exports,52104132000.0,2013,0
67,exports,Hard coal - exports,64367111999.99999,2012,0
68,exports,Hard coal - exports,101775100000.0,2011,0
69,exports,Hard coal - exports,132598416000.00002,2010,0
70,exports,Hard coal - exports,155455306000.0,2009,0
71,exports,Hard coal - exports,316329364000.0,2008,0
72,exports,Hard coal - exports,369155950000.0,2007,0
73,exports,Hard coal - exports,439128500000.0,2006,0
74,exports,Hard coal - exports,497813140000.0,2005,0
75,exports,Hard coal - exports,601448160000.0,2004,0
76,exports,Hard coal - exports,652561260000.0,2003,0
77,exports,Hard coal - exports,582238240000.0,2002,0
78,exports,Hard coal - exports,625488320000.0,2001,0
79,exports,Hard coal - exports,382047000000.0,2000,0
80,exports,Hard coal - exports,259826660000.0,1999,0
81,exports,Hard coal - exports,224141180000.0,1998,0
82,exports,Hard coal - exports,213196800000.0,1997,0
83,exports,Hard coal - exports,201468200000.0,1996,0
84,exports,Hard coal - exports,198601980000.0,1995,0
85,exports,Hard coal - exports,167906360000.0,1994,0
86,exports,Hard coal - exports,137481400000.0,1993,0
87,exports,Hard coal - exports,165380200000.0,1992,0
88,exports,Hard coal - exports,138806940000.0,1991,0
89,exports,Hard coal - exports,119992600000.0,1990,0
90,exports,Natural gas (including LNG) - exports,39129422970.18,2019,0
91,exports,Natural gas (including LNG) - exports,36419629135.68,2018,0
92,exports,Natural gas (including LNG) - exports,38262288943.14,2017,0
93,exports,Natural gas (including LNG) - exports,36853196149.2,2016,0
94,exports,Natural gas (including LNG) - exports,35227319848.5,2015,0
95,exports,Natural gas (including LNG) - exports,28181855878.800003,2014,0
96,exports,Natural gas (including LNG) - exports,28410856062.0,2013,0
97,exports,Natural gas (including LNG) - exports,29911523929.2,2012,0
98,exports,Natural gas (including LNG) - exports,32995831952.2,2011,0
99,exports,Natural gas (including LNG) - exports,41710533368.4,2010,0
100,exports,Natural gas (including LNG) - exports,33213165459.4,2009,0
101,exports,Natural gas (including LNG) - exports,33585776868.6,2008,0
102,exports,Natural gas (including LNG) - exports,26910021528.0,2007,0
103,exports,Natural gas (including LNG) - exports,29994329551.0,2006,0
104,exports,Natural gas (including LNG) - exports,30729191250.0,2005,0
105,exports,Natural gas (including LNG) - exports,25253909092.0,2004,0
106,exports,Natural gas (including LNG) - exports,19385571064.0,2003,0
107,exports,Natural gas (including LNG) - exports,33151137632.0,2002,0
108,exports,Natural gas (including LNG) - exports,26169465380.0,2001,0
