,source,target,value,year,estimation
0,exports,Oil products - exports,142800000.0,2009,0.0
1,exports,Oil products - exports,0.0,2010,0.0
2,Hard coal - imports,imports,893039200.0,2020,0.0
3,Hard coal - imports,imports,1038196240.0,2019,0.0
4,Hard coal - imports,imports,1031054980.0,2018,0.0
5,Hard coal - imports,imports,882955380.0,2017,0.0
6,Hard coal - imports,imports,867500000.0,2016,0.0
7,Hard coal - imports,imports,805040000.0,2015,0.0
8,Hard coal - imports,imports,694000000.0,2014,0.0
9,Hard coal - imports,imports,832800000.0,2013,0.0
10,Hard coal - imports,imports,721760000.0,2012,0.0
11,Hard coal - imports,imports,770340000.0,2011,0.0
12,Hard coal - imports,imports,735640000.0,2010,0.0
13,Hard coal - imports,imports,798100000.0,2009,0.0
14,Hard coal - imports,imports,700940000.0,2008,0.0
15,Hard coal - imports,imports,971600000.0,2007,0.0
16,Hard coal - imports,imports,749520000.0,2006,0.0
17,Hard coal - imports,imports,811980000.0,2005,0.0
18,Hard coal - imports,imports,721760000.0,2004,0.0
19,Hard coal - imports,imports,589900000.0,2003,0.0
20,Hard coal - imports,imports,680120000.0,2002,0.0
21,Hard coal - imports,imports,680120000.0,2001,0.0
22,Hard coal - imports,imports,700940000.0,2000,0.0
23,Hard coal - imports,imports,416400000.0,1999,0.0
24,Hard coal - imports,imports,485800000.0,1998,0.0
25,Hard coal - imports,imports,402520000.0,1997,0.0
26,Hard coal - imports,imports,458040000.0,1996,0.0
27,Hard coal - imports,imports,451100000.0,1995,0.0
28,Hard coal - imports,imports,492740000.0,1994,0.0
29,Hard coal - imports,imports,367820000.0,1993,0.0
30,Hard coal - imports,imports,347000000.0,1992,0.0
31,Hard coal - imports,imports,416400000.0,1991,0.0
32,Hard coal - imports,imports,451100000.0,1990,0.0
33,Coal products - imports,imports,233100000.0,1990,0.0
34,Coal products - imports,imports,287490000.0,1991,0.0
35,Coal products - imports,imports,139860000.0,1992,0.0
36,Coal products - imports,imports,116550000.0,1993,0.0
37,Coal products - imports,imports,240870000.0,1994,0.0
38,Coal products - imports,imports,139860000.0,1995,0.0
39,Coal products - imports,imports,240870000.0,1996,0.0
40,Coal products - imports,imports,209790000.0,1997,0.0
41,Coal products - imports,imports,233100000.0,1998,0.0
42,Coal products - imports,imports,209790000.0,1999,0.0
43,Coal products - imports,imports,365190000.0,2000,0.0
44,Coal products - imports,imports,326340000.0,2001,0.0
45,Coal products - imports,imports,372960000.0,2002,0.0
46,Coal products - imports,imports,411810000.0,2003,0.0
47,Coal products - imports,imports,404040000.0,2004,0.0
48,Coal products - imports,imports,256410000.0,2005,0.0
49,Coal products - imports,imports,202020000.0,2006,0.0
50,Coal products - imports,imports,264180000.0,2007,0.0
51,Coal products - imports,imports,209790000.0,2008,0.0
52,Coal products - imports,imports,163170000.0,2009,0.0
53,Coal products - imports,imports,194250000.0,2010,0.0
54,Coal products - imports,imports,178710000.0,2011,0.0
55,Coal products - imports,imports,334110000.0,2012,0.0
56,Coal products - imports,imports,209790000.0,2013,0.0
57,Coal products - imports,imports,240870000.0,2014,0.0
58,Coal products - imports,imports,186480000.0,2015,0.0
59,Coal products - imports,imports,194250000.0,2016,0.0
60,Coal products - imports,imports,169805580.0,2017,0.0
61,Coal products - imports,imports,165291210.0,2018,0.0
62,Coal products - imports,imports,82703880.0,2019,0.0
63,Coal products - imports,imports,182797020.0,2020,0.0
64,Oil products - imports,imports,8037000000.0,1990,0.0
65,Oil products - imports,imports,6786700000.0,1991,0.0
66,Oil products - imports,imports,8073800000.0,1992,0.0
67,Oil products - imports,imports,7984900000.0,1993,0.0
