,source,target,value,year,estimation
0,exports,Oil products - exports,489800000.0,1990,4.0
1,exports,Oil products - exports,545300000.0,1991,4.0
2,exports,Oil products - exports,623000000.0,1992,4.0
3,exports,Oil products - exports,667400000.0,1993,4.0
4,exports,Oil products - exports,245600000.0,1994,4.0
5,exports,Oil products - exports,223400000.0,1995,4.0
6,exports,Oil products - exports,223400000.0,1996,4.0
7,exports,Oil products - exports,234500000.0,1997,4.0
8,exports,Oil products - exports,234500000.0,1998,3.0
9,exports,Oil products - exports,630000000.0,1999,2.0
10,exports,Oil products - exports,1715060689.2,2000,0.0
11,exports,Oil products - exports,1146410741.7,2001,0.0
12,exports,Oil products - exports,755413884.2,2002,0.0
13,exports,Oil products - exports,2289907310.0,2003,0.0
14,exports,Oil products - exports,1238783187.9,2004,0.0
15,exports,Oil products - exports,12138202.3,2005,0.0
16,exports,Oil products - exports,5200000.0,2018,0.0
17,exports,Oil products - exports,5200000.0,2019,0.0
18,exports,Solid biofuels - exports,161000.0,1993,0.0
19,exports,Solid biofuels - exports,107065000.0,1994,0.0
20,exports,Solid biofuels - exports,805000.0,1995,0.0
21,exports,Solid biofuels - exports,279335000.0,1996,0.0
22,exports,Solid biofuels - exports,257600000.0,1997,0.0
23,exports,Solid biofuels - exports,136850000.0,1998,0.0
24,exports,Solid biofuels - exports,136850000.0,1999,0.0
25,exports,Solid biofuels - exports,158585000.0,2000,0.0
26,exports,Solid biofuels - exports,230230000.0,2001,0.0
27,exports,Solid biofuels - exports,230230000.0,2002,0.0
28,exports,Solid biofuels - exports,230230000.0,2003,0.0
29,exports,Solid biofuels - exports,230230000.0,2004,0.0
30,exports,Solid biofuels - exports,233450000.0,2005,0.0
31,exports,Solid biofuels - exports,233450000.0,2006,0.0
32,exports,Solid biofuels - exports,233450000.0,2007,0.0
33,exports,Solid biofuels - exports,410550.0,2008,0.0
34,exports,Solid biofuels - exports,418600.0,2009,0.0
35,exports,Solid biofuels - exports,265650.0,2010,0.0
36,exports,Solid biofuels - exports,365650.0,2011,0.0
37,exports,Solid biofuels - exports,252950.0,2012,0.0
38,exports,Solid biofuels - exports,804650.0,2013,0.0
39,exports,Solid biofuels - exports,748300.0,2014,0.0
40,exports,Solid biofuels - exports,710950.0,2015,0.0
41,Conventional crude oil - imports,imports,2558641410.0,2004,0.0
42,Conventional crude oil - imports,imports,4168145100.6,2003,0.0
43,Conventional crude oil - imports,imports,2153795108.4,2002,0.0
44,Conventional crude oil - imports,imports,3905488138.500001,2001,0.0
45,Conventional crude oil - imports,imports,5444279380.799999,2000,0.0
46,Conventional crude oil - imports,imports,4563000000.0,1999,0.0
47,Conventional crude oil - imports,imports,3685500000.0,1998,1.0
48,Conventional crude oil - imports,imports,3802500000.0,1997,1.0
49,Conventional crude oil - imports,imports,3159000000.0,1996,1.0
50,Conventional crude oil - imports,imports,3030300000.0,1995,1.0
51,Conventional crude oil - imports,imports,2889900000.0,1994,1.0
52,Conventional crude oil - imports,imports,2398500000.0,1993,1.0
53,Conventional crude oil - imports,imports,2164500000.0,1992,1.0
54,Conventional crude oil - imports,imports,2223000000.0,1991,1.0
55,Conventional crude oil - imports,imports,1848600000.0,1990,1.0
56,Hard coal - imports,imports,3546340000.0,2019,0.0
57,Hard coal - imports,imports,3129940000.0,2018,0.0
58,Hard coal - imports,imports,3806616899.224805,2017,0.0
59,Hard coal - imports,imports,2680400153.64,2016,0.0
60,Hard coal - imports,imports,2747546000.0,2015,1.0
61,Hard coal - imports,imports,2666257780.0,2014,0.0
62,Hard coal - imports,imports,2954184500.0,2013,0.0
63,Hard coal - imports,imports,1825657220.0,2012,0.0
64,Hard coal - imports,imports,1060043360.0,2011,0.0
65,Hard coal - imports,imports,276031560.0,2010,0.0
66,Hard coal - imports,imports,100331580.0,2009,0.0
67,Hard coal - imports,imports,91830080.0,2008,0.0
68,Hard coal - imports,imports,70808820.0,2007,0.0
69,Hard coal - imports,imports,104662140.0,2006,0.0
70,Hard coal - imports,imports,118424160.0,2005,0.0
71,Hard coal - imports,imports,69400000.0,2004,1.0
72,Hard coal - imports,imports,69400000.0,2003,1.0
73,Hard coal - imports,imports,69400000.0,2002,1.0
74,Hard coal - imports,imports,69400000.0,2001,1.0
75,Hard coal - imports,imports,69400000.0,2000,1.0
76,Hard coal - imports,imports,55520000.0,1999,0.0
77,Hard coal - imports,imports,83280000.0,1998,1.0
78,Hard coal - imports,imports,83280000.0,1997,1.0
79,Hard coal - imports,imports,69400000.0,1996,1.0
80,Hard coal - imports,imports,69400000.0,1995,1.0
81,Hard coal - imports,imports,83280000.0,1994,1.0
82,Hard coal - imports,imports,97160000.0,1993,1.0
83,Hard coal - imports,imports,90220000.0,1992,1.0
84,Hard coal - imports,imports,90220000.0,1991,1.0
85,Hard coal - imports,imports,90220000.0,1990,0.0
86,Coal products - imports,imports,39860100.0,2018,1.0
87,Coal products - imports,imports,146930700.0,2018,1.0
88,Coal products - imports,imports,39860100.0,2019,1.0
89,Coal products - imports,imports,146930700.0,2019,1.0
90,Oil products - imports,imports,2638800000.0,1990,9.0
91,Oil products - imports,imports,2787800000.0,1991,10.0
92,Oil products - imports,imports,2834200000.0,1992,10.0
93,Oil products - imports,imports,2822600000.0,1993,10.0
94,Oil products - imports,imports,2868400000.0,1994,10.0
95,Oil products - imports,imports,2879000000.0,1995,10.0
96,Oil products - imports,imports,2962600000.0,1996,10.0
97,Oil products - imports,imports,3425800000.0,1997,10.0
98,Oil products - imports,imports,3877200000.0,1998,10.0
99,Oil products - imports,imports,3877900000.0,1999,6.0
100,Oil products - imports,imports,4382455505.7,2000,5.0
101,Oil products - imports,imports,5001342407.8,2001,4.0
102,Oil products - imports,imports,4344767510.8,2002,4.0
103,Oil products - imports,imports,4825333436.900001,2003,4.0
104,Oil products - imports,imports,5449618420.6,2004,4.0
105,Oil products - imports,imports,7288698412.3,2005,2.0
106,Oil products - imports,imports,7199461792.0,2006,2.0
107,Oil products - imports,imports,7394129949.3,2007,2.0
108,Oil products - imports,imports,7848621527.099999,2008,2.0
109,Oil products - imports,imports,6416109300.0,2009,1.0
110,Oil products - imports,imports,6720914600.0,2010,1.0
111,Oil products - imports,imports,7759343100.000001,2011,1.0
112,Oil products - imports,imports,8660678100.0,2012,1.0
113,Oil products - imports,imports,8602066300.0,2013,1.0
114,Oil products - imports,imports,8769976400.0,2014,1.0
115,Oil products - imports,imports,9333580100.0,2015,3.0
116,Oil products - imports,imports,10153392440.0,2016,3.0
117,Oil products - imports,imports,10521988584.0,2017,2.0
118,Oil products - imports,imports,9677003592.0,2018,2.0
119,Oil products - imports,imports,12182220562.0,2019,2.0
120,Solid biofuels - imports,imports,322000.0,1992,0.0
121,Solid biofuels - imports,imports,5000.0,2015,0.0
122,Oil products - production,production,2007100000.0,1990,7.0
123,Oil products - production,production,2198400000.0,1991,7.0
124,Oil products - production,production,2268300000.0,1992,7.0
125,Oil products - production,production,2350900000.0,1993,7.0
126,Oil products - production,production,2801400000.0,1994,6.0
127,Oil products - production,production,2886500000.0,1995,6.0
128,Oil products - production,production,3092800000.0,1996,6.0
129,Oil products - production,production,3775400000.0,1997,6.0
130,Oil products - production,production,3495800000.0,1998,6.0
131,Oil products - production,production,4234800000.0,1999,7.0
132,Oil products - production,production,4785858544.7,2000,2.0
133,Oil products - production,production,3486052638.4,2001,2.0
134,Oil products - production,production,1837803226.0,2002,2.0
135,Oil products - production,production,4326033377.2,2003,2.0
