,source,target,value,year,estimation
0,exports,Electricity - exports,0.0,2007,0
1,exports,Electricity - exports,0.0,2006,0
2,exports,Electricity - exports,140000000.0,2005,0
3,exports,Electricity - exports,4240000000.0,2004,0
4,exports,Electricity - exports,1310000000.0,2003,0
5,exports,Electricity - exports,0.0,2002,0
6,exports,Electricity - exports,0.0,2001,0
7,exports,Electricity - exports,0.0,2000,0
8,exports,Electricity - exports,0.0,1999,0
9,exports,Electricity - exports,0.0,1998,0
10,exports,Electricity - exports,270000000.0,1997,0
11,exports,Electricity - exports,40000000.0,1996,0
12,exports,Electricity - exports,1270000000.0,1995,0
13,exports,Electricity - exports,50030000000.0,1994,0
14,exports,Electricity - exports,51040000000.0,1993,0
15,exports,Electricity - exports,46360000000.0,1992,0
16,exports,Conventional crude oil - exports,58500000.0,2004,0
17,exports,Conventional crude oil - exports,0.0,2003,0
18,exports,Conventional crude oil - exports,0.0,2002,0
19,exports,Conventional crude oil - exports,0.0,2001,0
20,exports,Conventional crude oil - exports,0.0,2000,0
21,exports,Hard coal - exports,1346360000.0,1992,0
22,exports,Natural gas (including LNG) - exports,0.0,2007,0
23,exports,Natural gas (including LNG) - exports,0.0,2006,0
24,exports,Natural gas (including LNG) - exports,555556.0,2005,0
25,exports,Natural gas (including LNG) - exports,0.0,2004,0
26,exports,Natural gas (including LNG) - exports,0.0,2003,0
27,exports,Natural gas (including LNG) - exports,8055562.0,2002,0
28,exports,Natural gas (including LNG) - exports,8055562.0,2001,0
29,exports,Natural gas (including LNG) - exports,24444464.0,2000,0
30,exports,Oil products - exports,33300000.0,1993,0.0
31,exports,Oil products - exports,0.0,2000,0.0
32,exports,Oil products - exports,0.0,2001,0.0
33,exports,Oil products - exports,13000000.0,2002,0.0
34,exports,Oil products - exports,13000000.0,2003,0.0
35,exports,Oil products - exports,13000000.0,2004,0.0
36,exports,Oil products - exports,35200000.0,2005,0.0
37,exports,Oil products - exports,44400000.0,2006,0.0
38,exports,Oil products - exports,77700000.0,2007,0.0
39,exports,Oil products - exports,66600000.0,2008,0.0
40,exports,Oil products - exports,172800000.0,2009,0.0
41,exports,Oil products - exports,164700000.0,2010,0.0
42,exports,Oil products - exports,168400000.0,2011,0.0
43,exports,Oil products - exports,213900000.0,2012,0.0
44,exports,Oil products - exports,393900000.0,2013,0.0
45,exports,Oil products - exports,204900000.0,2014,0.0
46,exports,Oil products - exports,162600000.0,2015,0.0
47,exports,Oil products - exports,183200000.0,2016,0.0
48,exports,Oil products - exports,405300000.0,2017,0.0
49,exports,Oil products - exports,318900000.0,2018,0.0
50,exports,Oil products - exports,107100000.0,2019,0.0
51,exports,Solid biofuels - exports,0.0,2008,0.0
52,exports,Solid biofuels - exports,0.0,2009,0.0
53,exports,Solid biofuels - exports,41666700.0,2010,0.0
54,exports,Solid biofuels - exports,1111112.0,2011,0.0
55,exports,Solid biofuels - exports,10555564.0,2012,0.0
56,exports,Solid biofuels - exports,4722226.0,2013,0.0
57,exports,Solid biofuels - exports,42500034.0,2014,0.0
58,exports,Solid biofuels - exports,25277798.0,2015,0.0
59,exports,Solid biofuels - exports,0.0,2016,0.0
60,exports,Solid biofuels - exports,277778.0,2017,0.0
61,exports,Solid biofuels - exports,277778.0,2019,0.0
62,exports,Liquid biofuels - exports,0.0,2012,0.0
63,exports,Liquid biofuels - exports,112500000.0,2013,0.0
64,exports,Liquid biofuels - exports,0.0,2014,0.0
65,exports,Liquid biofuels - exports,0.0,2015,0.0
66,exports,Liquid biofuels - exports,0.0,2016,0.0
67,Electricity - imports,imports,35010000000.0,2019,0
68,Electricity - imports,imports,35000000000.0,2018,0
69,Electricity - imports,imports,34120000000.0,2017,0
70,Electricity - imports,imports,33250000000.0,2016,0
71,Electricity - imports,imports,33150000000.0,2015,0
72,Electricity - imports,imports,33420000000.0,2014,0
73,Electricity - imports,imports,33320000000.0,2013,0
