,source,target,value,year,estimation
0,exports,Electricity - exports,6307440000.0,2019,0
1,exports,Electricity - exports,4840000000.0,2018,0
2,exports,Electricity - exports,4830000000.0,2017,0
3,exports,Electricity - exports,2550000000.0,2016,0
4,exports,Electricity - exports,5000000000.0,2015,0
5,exports,Electricity - exports,6250000000.0,2014,0
6,exports,Electricity - exports,2330000000.0,2013,0
7,exports,Electricity - exports,4260000000.0,2012,0
8,exports,Electricity - exports,1610000000.0,2011,0
9,exports,Electricity - exports,1220000000.0,2010,0
10,exports,Electricity - exports,1520000000.0,2009,0
11,exports,Electricity - exports,1290000000.0,2008,0
12,exports,Electricity - exports,0.0,2007,0
13,exports,Electricity - exports,1350000000.0,2006,0
14,exports,Electricity - exports,360000000.0,2005,0
15,exports,Electricity - exports,270000000.0,2004,0
16,exports,Electricity - exports,200000000.0,2003,0
17,exports,Electricity - exports,590000000.0,2002,0
18,exports,Electricity - exports,0.0,2001,0
19,exports,Electricity - exports,0.0,2000,0
20,exports,Electricity - exports,0.0,1999,0
21,exports,Electricity - exports,0.0,1998,0
22,exports,Electricity - exports,0.0,1997,0
23,exports,Electricity - exports,1490000000.0,1996,0
24,exports,Electricity - exports,1410000000.0,1995,0
25,exports,Electricity - exports,30000000.0,1994,0
26,exports,Electricity - exports,380000000.0,1993,0
27,exports,Electricity - exports,1260000000.0,1992,0
28,exports,Electricity - exports,1290000000.0,1991,0
29,exports,Electricity - exports,1290000000.0,1990,0
30,exports,Conventional crude oil - exports,18649800000.0,2019,0
31,exports,Conventional crude oil - exports,16146000000.0,2018,0
32,exports,Conventional crude oil - exports,17093700000.0,2017,0
33,exports,Conventional crude oil - exports,21223800000.0,2016,0
34,exports,Conventional crude oil - exports,21890700000.0,2015,0
35,exports,Conventional crude oil - exports,25751700000.0,2014,0
36,exports,Conventional crude oil - exports,25529400000.0,2013,0
37,exports,Conventional crude oil - exports,30326400000.0,2012,0
38,exports,Conventional crude oil - exports,31332600000.0,2011,0
39,exports,Conventional crude oil - exports,42985800000.0,2010,0
40,exports,Conventional crude oil - exports,38914200000.0,2009,0
41,exports,Conventional crude oil - exports,41722200000.0,2008,0
42,exports,Conventional crude oil - exports,45618300000.0,2007,0
43,exports,Conventional crude oil - exports,31426200000.0,2006,0
44,exports,Conventional crude oil - exports,33204600000.0,2005,0
45,exports,Conventional crude oil - exports,31964400000.0,2004,0
46,exports,Conventional crude oil - exports,28758600000.0,2003,0
47,exports,Conventional crude oil - exports,34011900000.0,2002,0
48,exports,Conventional crude oil - exports,32198400000.0,2001,0
49,exports,Conventional crude oil - exports,34000200000.0,2000,0
50,exports,Conventional crude oil - exports,37323000000.0,1999,0
51,exports,Conventional crude oil - exports,34983000000.0,1998,0
52,exports,Conventional crude oil - exports,32713200000.0,1997,0
53,exports,Conventional crude oil - exports,37100700000.0,1996,0
54,exports,Conventional crude oil - exports,40505400000.0,1995,0
55,exports,Conventional crude oil - exports,39066300000.0,1994,0
56,exports,Conventional crude oil - exports,37206000000.0,1993,0
57,exports,Conventional crude oil - exports,47595600000.0,1992,0
58,exports,Conventional crude oil - exports,40458600000.0,1991,0
59,exports,Conventional crude oil - exports,38668500000.0,1990,0
60,exports,Natural gas (including LNG) - exports,5555560000.0,2006,1.0
61,exports,Natural gas (including LNG) - exports,6012338143.200001,2005,0
62,exports,Natural gas (including LNG) - exports,6627227524.0,2004,0
63,exports,Natural gas (including LNG) - exports,5731004584.799999,2003,0
64,exports,Natural gas (including LNG) - exports,5634393396.4,2002,0
65,exports,Natural gas (including LNG) - exports,6764838745.200001,2001,0
66,exports,Natural gas (including LNG) - exports,8829968175.08,2000,0
67,exports,Natural gas (including LNG) - exports,10799858639.88,1999,0
