,source,target,value,year,estimation
0,exports,Oil products - exports,12060200000.0,1990,5.0
1,Conventional crude oil - imports,imports,36270000000.0,1990,1.0
2,Oil products - imports,imports,1346500000.0,1990,6.0
3,Conventional crude oil - production,production,9360000000.0,1990,1.0
4,Oil products - production,production,28492000000.0,1990,5.0
5,Solid biofuels - production,production,810000000.0,1990,0.0
6,imports,Total amount of energy,36270000000.0,1990,1.0
7,imports,Total amount of energy,1346500000.0,1990,6.0
8,production,Total amount of energy,9360000000.0,1990,1.0
9,production,Total amount of energy,28492000000.0,1990,5.0
10,production,Total amount of energy,810000000.0,1990,0.0
11,Total amount of energy,exports,12060200000.0,1990,5.0
